Process,Narrative,SME Hazard Type Label,,SME Severity Label
Near Miss,Working Under Crane,None - minor maintenance,,4C
QSI Observation,Some sampling points are missing the identification tags,Others,,
Employee Suggestion,during my routine check I notice that there's no description signs for the main isolation valves for drinking water in the unit . so that I suggest to install description signs on all valves .,None - minor maintenance,,
QSI Observation,Radioactive meterial store the fence left unlocked and the man way was open,Safety - collision,,
Employee Suggestion,"at NGL area on D-0*01A/B we have unreachable Sight glass for H.C and water side, right now we have a temporary scaffold but it's not helping us completely because we can not reach all required spots. also, we can't move, we only shafting between the ",None - minor maintenance,,
Unsafe Condition,BADLY AIR VACATING ON ZV-2904.,None - minor maintenance,,1C
QSI Observation,"?É¬¢?Ç‚Ç¨?Ç¬¢ Clear and remove sand accumulated around all simple cycle cogen units E, F, G.",None - minor maintenance,,
QSI Observation,Bulding 104 fire alarm is broken need to be fixed.,Safety - fire and explosion,,
Employee Suggestion,when you want to re-turn back from computer gate inside the plant,Safety - contact with chemicals,,1C
Unsafe Condition,OVEN BROKEN GLASS,Safety - collision,,
Unsafe Condition,GAS SLANDERS WITHOUT CHB LABEL.,Safety - contact with chemicals,,3C
Employee Suggestion,lab technician is exposed to chemical burn since we're dealing with strong acid and caustic.,Safety - contact with chemicals,,
QSI Observation,RG substation battery room has one missing facesheiled,None - minor maintenance,,
QSI Observation,NGL-2 substation SG overhead cranes were not inspected,Safety - fire and explosion,,
Employee Suggestion,"As a lab technician we work in different kind of sample whish are contain H2S such as Raw water, Ro water and also some of the gases such as sour gas, but the issue we don?É?í?Ç¬¢?É¬¢?Ç‚Äö?Ç¬¨?É¬¢?Ç‚Äû?Ç¬¢t have H2S sensor or lamp which supposed to be in every lab as a safety prec",Safety - contact with chemicals,,
Employee Suggestion,"In order to improve fire protection at T&I yard area, I suggest to install new fire monitors and Extinguisher.I suggest to install new fire equipment.",Safety - fire and explosion,,
Employee Suggestion,in utility area pad lock in SO shift office needs to change location due to may cause injury to employees.,Safety - collision,,
QSI Observation,Safety harness does not have inspection date,Safety - contact with chemicals,,
Unsafe Condition,SOUTH DOOR OF BUILDING RG-307,None - minor maintenance,,
Employee Suggestion,there is a sound power phone in SO office at NGL area is located unsafe.,Safety - collision,,
Near Miss,contractor employ clean energize coffee grinder,Safety - collision,,1C
QSI Observation,most of the hose reel station isolation valve not painted nor car sealed (B95-LHR-001/002/013/014/020),None - minor maintenance,,
Near Miss,Tying Shoes,None,,1C
QSI Observation,"damaged foundation support in shipper pump (G-0006E) and booster (G-0005E), support small draining piping to sump.",None - minor maintenance,,
QSI Observation,Remove temporary foundation under RG#4 30'' inlet & HP main B/V's,Safety - slip trip and fall,,
Employee Suggestion,Install Jip crane for Q-0109 and Q0209,None - minor maintenance,,
Employee Suggestion,At CGTG#D in PEECC there is a tags not Aramco standard (instructions) on cubical.,Others,,1C
Near Miss,Smoking In Car,Safety - collision,,3C
Near Miss,tray will fall,Safety - collision,,2C
QSI Observation,"Remind scaffold contractors, and permit issuers, that scaffold tags must be built-in into the scaffold and near the access point, never attached with a clamp. ",Safety - collision,,
QSI Observation,CO2-10LB SAP#4523224(203) located outdoor,None - minor maintenance,,
QSI Observation,RG substation northern door handle is broken and cannot open from outside,None - minor maintenance,,
QSI Observation,5- Missing plug at (B54-JB-001) at chlorination skid building.,None - minor maintenance,,1C
Employee Suggestion,"I suggest to exist no using mobile signs next to main entrance of each unit(OME and Operation shelter), in order to remind every one who wants to enter the area that cell phones are not allowed and strictly prohibited.",Safety - contact with chemicals,,
QSI Observation,"B56-PE-175,176,271,179 and B56-FE-01- 03, 06 And B56-FE-120-96 NEED hydro test (CO2).",None - minor maintenance,,
QSI Observation,Re install B92-G-0042E 1 inch drain line flange insulation.,None - minor maintenance,,
QSI Observation,Remove all wood plats from the area,Safety - collision,,
Unsafe Condition,ARC FLASH BOUNDARY T-304,Safety - electric,,
Employee Suggestion,in inlet & gas treat building 402 maintenance shop with out install safety warning signs like use PPE &use right tools& safety glass . tools inspection .,Safety - contact with chemicals,,
Near Miss,mantance Truck,Others,,
Unsafe Condition,GAS CANISTER,Safety - contact with chemicals,,
QSI Observation,Repair the windsock located on top of HP flare KO drum,None - minor maintenance,,
QSI Observation,Remove unneeded material at E-112 A/B/C,None - minor maintenance,,1C
Employee Suggestion,Installing in the Road from RIC To Sabkah #112 Display Board Speed Radar to make sure all driver's are being attention and obey speed limit's,Safety - collision,,
Employee Suggestion,On our OME Building we have B90-304-SA-003 Horn fire alarm system and B90-304-SA-010 Behind the OME Building Doors.To put a small plate beside these Horns to prevent the door from hitting it.,Safety - fire and explosion,,
QSI Observation,LOTO was not applied to a breaker in off position in Utilities Substation that feeds B92-GM-0045A at MCC-002 (ALG).,Safety - electric,,4C
Employee Suggestion,I recommend to install a safety shower and eyewash in chemical store .,Safety - contact with chemicals,,
QSI Observation,Missing plug for unused opening of Instrument Junction box 32-GDJB-206 located at the east side of B90-D-0201A at NGL Train 2.,None - minor maintenance,,
QSI Observation,Insullations placed at IGC#3 need to be removed,Others,,
QSI Observation,Safety arm on top of north ladder at 2nd level platform next to B91-D-0102A is not self-closing. Fix safety arm to be self-closing as required.,None - minor maintenance,,
QSI Observation,UPS room at PIB-5 needs relamping,None - minor maintenance,,
QSI Observation,OWS# 42/94&105 are dray,None - minor maintenance,,
QSI Observation,OWS nearby the cooling tower found not stenciled by its number.,None - minor maintenance,,
QSI Observation,"Building 405 Electric Room has martial need to removed, this room must be free of any material.",None - minor maintenance,,
QSI Observation,G-0001 B unneeded martial like house and cans should be removed and need housekeeping.,None - minor maintenance,,
QSI Observation,?É¬¢?Ç‚Ç¨?Ç¬¢ Check and repair abnormal sound on 48-EM-102B.,None - minor maintenance,,
QSI Observation," Steam leak over the scaffolding, the scaffolding should be adjusted",None - minor maintenance,,
Unsafe Condition,BUILDING 104,Safety - electric,,
QSI Observation,Housing keeping of the shipper and booster pumps skid,None - minor maintenance,,
Unsafe Condition,DOOR CLOSER,None,,
Employee Suggestion,There is no sign on the transformer yard fence to specify the required PPE requirement inside the yard.To install PPE sign on the transformer yard by specifying the ARC flash type which is CAT A/B.,Safety - fire and explosion,,
Unsafe Condition,ARC FLASH BOUNDARY,Safety - electric,,1C
QSI Observation,B90-LHR-101 & 201 & 223 & 219 No SAP Number,Safety - contact with chemicals,,
Employee Suggestion,Paste labels on admin sliding door.,Safety - collision,,
QSI Observation,Open cover of one fixture light at 32-LGP-7043 located at the south side of B90-KM-0203B at NGL 2,None - minor maintenance,,
QSI Observation,B90- PE-207 & B90-PE-208 each DC30 have two SAP numbers .,Safety - fire and explosion,,
QSI Observation,Fire hydrant SAP No 4544879 was surrounded by foaming lines & a lot of drums ( difficult approach ).,Safety - collision,,
Unsafe Condition,D-0007 A&B LADDERS LIGHTS,None - minor maintenance,,
Near Miss,Lube oil spill,Safety - slip trip and fall,,2C
QSI Observation,?É¬¢?Ç‚Ç¨?Ç¬¢ Maintenance need to organize materials at the shop.,None - minor maintenance,,
Near Miss,ceiling falling,None,,3C
Employee Suggestion,we need to install window at the entrance and exit doors to allow us see if there is someone want to enter the building at other side of the door to prevent any accident by opining the door and hit someone behind the door. specially that we are alway,Safety - collision,,
Employee Suggestion,We need to install ladder nearby PV-*875,Safety - slip trip and fall,,
QSI Observation,PMS/PSA annunciator screen is hanged and it was not healthy.,Safety - slip trip and fall,,
QSI Observation,B-56-FE-120-94 Expire inspection date record,Safety - fire and explosion,,1C
Employee Suggestion,Install fire extinguisher behind Switch Rack B56-SS1-SR-01,Safety - fire and explosion,,
QSI Observation,Clean and clear all accumulated and oil on Air compressors K-11A/C.,None - minor maintenance,,
QSI Observation,Remove scaffolding from top platforms of RGC?É¬¢?Ç‚Ç¨?Ç‚Ñ¢s and IGC?É¬¢?Ç‚Ç¨?Ç‚Ñ¢s,None - minor maintenance,,
QSI Observation,21-PIT-1279 is leaking from tube,None - minor maintenance,,
Unsafe Condition,WORNING SIGN,Others,,
Near Miss,cable tray damage,None - minor maintenance,,2C
QSI Observation,2. Missing Tie-warp from Instrument cable that connected to 31-LV-1034 located at the east side of B90-D-0103 at NGL 1,None - minor maintenance,,
QSI Observation,PZV-1011 top of Sour water stripper B92-C-0101 A without careseal,None - minor maintenance,,
Near Miss,D-0651 Sodium Hypochlorite,Safety - contact with chemicals,,
Employee Suggestion,I suggest to install High voltage caution at GM-0009B Local panel .,Safety - electric,,
Unsafe Condition,UTILITY SHELTER AC UNITS,None - minor maintenance,,
QSI Observation,5 out of 12 corroded cover bolts of B92-GM-0019B-LCS-001 located at the east side of B92-D-0063,None - minor maintenance,,
Employee Suggestion,"we need to identify different colors for each breaker tags for all equipment in RGC and IGC in 480 MCC. This will help operator to find exact equipment tag breaker for each compressor for example, all breaker has RG train 1 equipment have red tag and",Safety - electric,,
Employee Suggestion,"A bar of iron located nearby MS1 substation, crossing the path and its not colored in yellow and black so its hard to see it at night, someone could hit it while riding his bike.To be painted to be visible",None - minor maintenance,,
Employee Suggestion,drew arrows on road ground to direct traffic around the out of NGL plant fence to flare stack area with one way only .,Safety - collision,,
Employee Suggestion,"in BLD-110 ISF EDG , diesel tank has no CHB label also in CCR EDG. I suggest to install CHB label for diesel tanks as safety requirement and precautions to identifies the hazards when dealing with it.",Safety - slip trip and fall,,
